date,time,hive,,solar radiation(J/m2)(1min mean)(5minn),wind speed(m/s)(1min mean)(5minn),temperature(1min mean)(5minn),precipitation(mm)(1min mean)(5minn),outdoor temperature,indoor temperature (top),indoor temperature (mid),heat up,heating level,weather,opening,,note,number of outport,number of bees,average number of bee,number of import,number of bring pollen,remove,,weight of pollen (1hr),individual efficiency,remove16
2020/10/3,08:00,A,,23.98,0.83,28.2,0,28.1,32.6,,1,mid,sunny,,,,70,5235,0.0134,80,43,,,1.72008,0.024572571,
2020/10/3,08:00,B,,24.83,0.85,28.37,0,27.6,32.6,,0,,sunny,,,,45,7354,0.0061,96,8,,,0.19044,0.004232,
2020/10/3,09:00,A,,34.57,1.52,29.73,0,30.6,34.6,,1,mid,sunny,,,,20,5235,0.0038,32,18,,,0.85704,0.042852,
2020/10/3,09:00,B,,35.55,1.48,29.8,0,29.1,33.6,,0,,sunny,,,,58,7354,0.0079,61,13,,,0.22428,0.003866897,
2020/10/3,10:00,A,,43.95,1.07,31.02,0,32.1,35.1,,1,mid,sunny,,,,85,5235,0.0162,104,32,,,1.77109,0.020836364,
2020/10/3,10:00,B,,44.73,1.22,31.23,0,30.6,34.1,,0,,sunny,,,,131,7354,0.0178,89,10,,,0.33687,0.002571548,
2020/10/3,12:00,A,,50.75,1,32.35,0,32.1,36.1,,1,mid,sunny,,,,147,5235,0.0281,142,33,,,2.38615,0.016232282,
2020/10/3,12:00,B,,50.57,0.98,32.57,0,31.6,35.6,,0,,sunny,,,,109,7354,0.0148,96,15,,,0.20122,0.001846038,
2020/10/3,14:00,A,,40.63,1.4,31.95,0,31.6,36.1,,1,mid,sunny,,,,91,5235,0.0174,109,17,,,1.01722,0.011178222,
2020/10/3,14:00,B,,33.8,1.12,32.02,0,31.6,36.1,,0,,sunny,,,,152,7354,0.0207,138,9,,,0.21835,0.001436483,
2020/10/3,16:00,A,,17.18,1.17,30.53,0,30.6,35.1,,1,mid,sunny,battery,,,92,5235,0.0176,155,23,,,,,
2020/10/3,16:00,B,,15.2,1.32,30.28,0,31.1,36.1,,0,,sunny,battery,,,135,7354,0.0184,210,12,,,,,
2020/10/4,06:00,A,,0.25,0.25,23.4,0,24.1,29.1,,0,,sunny,,,,411,5235,0.0785,525,179,,,15.9072,0.03870365,
2020/10/4,06:00,B,,0.5,0.25,23.5,0,25.1,31.1,,1,mid,sunny,battery,,,414,7354,0.0563,430,29,,,6.28488,0.01518087,
2020/10/4,07:00,A,,3.55,0.33,25.05,0,25.6,30.1,,0,,sunny,,,,163,5235,0.0311,217,70,,,2.82444,0.017327853,
