date,time,temperature,hive,heat up
2020/9/22,2020/9/22 15:17,35.1,B,0
2020/9/22,2020/9/22 15:22,35.1,B,0
2020/9/22,2020/9/22 15:27,35.1,B,0
2020/9/22,2020/9/22 15:32,35.1,B,0
2020/9/22,2020/9/22 15:37,35.1,B,0
2020/9/22,2020/9/22 15:42,35.1,B,0
2020/9/22,2020/9/22 15:47,35.1,B,0
2020/9/22,2020/9/22 15:52,35.1,B,0
2020/9/22,2020/9/22 15:57,35.1,B,0
2020/9/23,2020/9/23 06:02,28.6,B,0
2020/9/23,2020/9/23 06:07,29.1,B,0
2020/9/23,2020/9/23 06:12,29.1,B,0
2020/9/23,2020/9/23 06:17,29.1,B,0
2020/9/23,2020/9/23 06:22,29.1,B,0
2020/9/23,2020/9/23 06:27,29.6,B,0
2020/9/23,2020/9/23 06:32,29.6,B,0
2020/9/23,2020/9/23 06:37,29.6,B,0
2020/9/23,2020/9/23 06:42,29.6,B,0
2020/9/23,2020/9/23 06:47,29.6,B,0
2020/9/23,2020/9/23 06:52,29.6,B,0
2020/9/23,2020/9/23 06:57,29.6,B,0
2020/9/23,2020/9/23 07:02,29.6,B,0
2020/9/23,2020/9/23 07:07,29.6,B,0
2020/9/23,2020/9/23 07:12,29.6,B,0
2020/9/23,2020/9/23 07:17,29.6,B,0
2020/9/23,2020/9/23 07:22,29.6,B,0
2020/9/23,2020/9/23 07:27,30.1,B,0
2020/9/23,2020/9/23 07:32,30.1,B,0
2020/9/23,2020/9/23 07:37,30.1,B,0
2020/9/23,2020/9/23 07:42,30.1,B,0
2020/9/23,2020/9/23 07:47,30.1,B,0
2020/9/23,2020/9/23 07:52,30.6,B,0
2020/9/23,2020/9/23 07:57,30.6,B,0
2020/9/23,2020/9/23 08:02,30.6,B,0
2020/9/23,2020/9/23 08:07,30.6,B,0
2020/9/23,2020/9/23 08:12,31.1,B,0
2020/9/23,2020/9/23 08:17,31.1,B,0
2020/9/23,2020/9/23 08:22,31.1,B,0
2020/9/23,2020/9/23 08:27,31.1,B,0
2020/9/23,2020/9/23 08:32,31.6,B,0
2020/9/23,2020/9/23 08:37,31.6,B,0
2020/9/23,2020/9/23 08:42,31.6,B,0
2020/9/23,2020/9/23 08:47,32.1,B,0
2020/9/23,2020/9/23 08:52,32.1,B,0
2020/9/23,2020/9/23 08:57,32.1,B,0
2020/9/23,2020/9/23 09:02,32.1,B,0
2020/9/23,2020/9/23 09:07,32.1,B,0
2020/9/23,2020/9/23 09:12,32.1,B,0
2020/9/23,2020/9/23 09:17,32.1,B,0
2020/9/23,2020/9/23 09:22,32.1,B,0
2020/9/23,2020/9/23 09:27,32.1,B,0
2020/9/23,2020/9/23 09:32,32.1,B,0
2020/9/23,2020/9/23 09:37,32.1,B,0
2020/9/23,2020/9/23 09:42,32.1,B,0
2020/9/23,2020/9/23 09:47,32.1,B,0
2020/9/23,2020/9/23 09:52,32.6,B,0
2020/9/23,2020/9/23 09:57,32.6,B,0
2020/9/23,2020/9/23 10:02,32.6,B,0
2020/9/23,2020/9/23 10:07,32.6,B,0
2020/9/23,2020/9/23 10:12,32.6,B,0
2020/9/23,2020/9/23 10:17,32.6,B,0
2020/9/23,2020/9/23 10:22,32.6,B,0
2020/9/23,2020/9/23 10:27,32.6,B,0
2020/9/23,2020/9/23 10:32,32.6,B,0
2020/9/23,2020/9/23 10:37,33.1,B,0
2020/9/23,2020/9/23 10:42,32.1,B,0
2020/9/23,2020/9/23 10:47,34.1,B,0
2020/9/23,2020/9/23 10:52,33.6,B,0
2020/9/23,2020/9/23 10:57,33.6,B,0
2020/9/23,2020/9/23 11:02,33.1,B,0
2020/9/23,2020/9/23 11:07,33.6,B,0
2020/9/23,2020/9/23 11:12,33.6,B,0
2020/9/23,2020/9/23 11:17,33.6,B,0
2020/9/23,2020/9/23 11:22,33.6,B,0
2020/9/23,2020/9/23 11:27,34.1,B,0
2020/9/23,2020/9/23 11:32,34.1,B,0
2020/9/23,2020/9/23 11:37,34.6,B,0
2020/9/23,2020/9/23 11:42,34.6,B,0
2020/9/23,2020/9/23 11:47,34.6,B,0
2020/9/23,2020/9/23 11:52,35.1,B,0
2020/9/23,2020/9/23 11:57,35.1,B,0
2020/9/23,2020/9/23 12:02,34.6,B,0
2020/9/23,2020/9/23 12:07,34.6,B,0
2020/9/23,2020/9/23 12:12,34.6,B,0
2020/9/23,2020/9/23 12:17,34.6,B,0
2020/9/23,2020/9/23 12:22,34.6,B,0
2020/9/23,2020/9/23 12:27,34.6,B,0
2020/9/23,2020/9/23 12:32,34.6,B,0
2020/9/23,2020/9/23 12:37,34.6,B,0
2020/9/23,2020/9/23 12:42,34.6,B,0
2020/9/23,2020/9/23 12:47,34.6,B,0
2020/9/23,2020/9/23 12:52,34.6,B,0
2020/9/23,2020/9/23 12:57,34.6,B,0
2020/9/23,2020/9/23 13:02,34.6,B,0
2020/9/23,2020/9/23 13:07,34.6,B,0
2020/9/23,2020/9/23 13:12,34.6,B,0
2020/9/23,2020/9/23 13:17,34.6,B,0
2020/9/23,2020/9/23 13:22,34.6,B,0
2020/9/23,2020/9/23 13:27,34.6,B,0
2020/9/23,2020/9/23 13:32,34.6,B,0
2020/9/23,2020/9/23 13:37,34.6,B,0
2020/9/23,2020/9/23 13:42,34.6,B,0
2020/9/23,2020/9/23 13:47,34.6,B,0
2020/9/23,2020/9/23 13:52,34.6,B,0
2020/9/23,2020/9/23 13:57,35.1,B,0
2020/9/23,2020/9/23 14:02,34.6,B,0
2020/9/23,2020/9/23 14:07,34.6,B,0
2020/9/23,2020/9/23 14:12,34.6,B,0
2020/9/23,2020/9/23 14:17,34.6,B,0
2020/9/23,2020/9/23 14:22,34.6,B,0
2020/9/23,2020/9/23 14:27,34.6,B,0
2020/9/23,2020/9/23 14:32,34.6,B,0
2020/9/23,2020/9/23 14:37,34.6,B,0
2020/9/23,2020/9/23 14:42,34.6,B,0
2020/9/23,2020/9/23 14:47,34.6,B,0
2020/9/23,2020/9/23 14:52,34.6,B,0
2020/9/23,2020/9/23 14:57,34.6,B,0
2020/9/23,2020/9/23 15:02,34.6,B,0
2020/9/23,2020/9/23 15:07,34.6,B,0
2020/9/23,2020/9/23 15:12,34.6,B,0
2020/9/23,2020/9/23 15:17,34.6,B,0
2020/9/23,2020/9/23 15:22,34.6,B,0
2020/9/23,2020/9/23 15:27,34.6,B,0
2020/9/23,2020/9/23 15:32,34.6,B,0
2020/9/23,2020/9/23 15:37,34.6,B,0
2020/9/23,2020/9/23 15:42,34.6,B,0
2020/9/23,2020/9/23 15:47,34.6,B,0
2020/9/23,2020/9/23 15:52,34.6,B,0
2020/9/23,2020/9/23 15:57,34.6,B,0
2020/10/1,2020/10/1 06:02,27.6,B,0
2020/10/1,2020/10/1 06:07,27.6,B,0
2020/10/1,2020/10/1 06:12,27.6,B,0
2020/10/1,2020/10/1 06:17,27.6,B,0
2020/10/1,2020/10/1 06:22,28.1,B,0
2020/10/1,2020/10/1 06:27,28.1,B,0
2020/10/1,2020/10/1 06:32,28.1,B,0
2020/10/1,2020/10/1 06:37,28.1,B,0
2020/10/1,2020/10/1 06:42,28.1,B,0
2020/10/1,2020/10/1 06:47,28.6,B,0
2020/10/1,2020/10/1 06:52,28.6,B,0
2020/10/1,2020/10/1 06:57,28.6,B,0
2020/10/1,2020/10/1 07:02,29.1,B,0
2020/10/1,2020/10/1 07:07,29.1,B,0
2020/10/1,2020/10/1 07:12,29.1,B,0
2020/10/1,2020/10/1 07:17,29.1,B,0
2020/10/1,2020/10/1 07:22,29.1,B,0
2020/10/1,2020/10/1 07:27,29.6,B,0
2020/10/1,2020/10/1 07:32,29.6,B,0
2020/10/1,2020/10/1 07:37,29.6,B,0
2020/10/1,2020/10/1 07:42,29.6,B,0
2020/10/1,2020/10/1 07:47,30.1,B,0
2020/10/1,2020/10/1 07:52,30.1,B,0
2020/10/1,2020/10/1 07:57,30.1,B,0
2020/10/1,2020/10/1 08:02,30.1,B,0
2020/10/1,2020/10/1 08:07,30.6,B,0
2020/10/1,2020/10/1 08:12,30.6,B,0
2020/10/1,2020/10/1 08:17,30.6,B,0
2020/10/1,2020/10/1 08:22,30.6,B,0
2020/10/1,2020/10/1 08:27,30.6,B,0
2020/10/1,2020/10/1 08:32,30.6,B,0
2020/10/1,2020/10/1 08:37,30.6,B,0
2020/10/1,2020/10/1 08:42,30.6,B,0
